symbol	sgKDM5B_v_sgctrl.l2fc	sgKDM5B_v_sgctrl.padj
STRG.198	1.20338886027319	0.00718814323175886
STRG.199	-4.43050912097453	0.0403326042939085
STRG.200	0.206660331450123	0.372129109238522
STRG.201	0.815100047220992	0.00134771513346065
STRG.202	0.435464638615809	0.589632735694566
STRG.203	0.5314028656931	0.257512942632648
STRG.204	0.912480120864521	2.31325844384498e-06
STRG.205	0.469337457942533	0.0771367212183628
STRG.206	1.03601028215279	1.91070966022805e-08
STRG.207	1.15806087513834	2.0997404022205e-05
STRG.208	0.4950766860093	0.0622819306997578
STRG.209	0.176667960515807	0.482395124855673
STRG.210	0.0409340849092001	0.87833535499334
STRG.211	0.602209150614564	0.0335531857965371
STRG.212	0.607713307763239	0.532324546050198
STRG.213	-0.033995381295154	0.950104105510254
STRG.214	-0.352027247160418	0.504355361406149
STRG.215	1.44266007667831	0.542883450157834
STRG.216	0.419720062397252	0.812200547644042
STRG.217	-0.17616815266416	0.514973677967583
STRG.218	-3.39985500625957	4.15656002836132e-05
STRG.219	-0.891087825579169	0.00499057387136721
STRG.220	-0.235494749788534	0.750184669574995
STRG.221	-0.455979343901497	0.303652311953788
STRG.222	-0.928693219151537	5.65363594936196e-06
STRG.223	-0.221237764507396	0.752375007899416
STRG.224	-0.268478001687574	0.723497950322663
STRG.225	-0.972579926290664	0.000522048664717717
STRG.226	-0.776075889254992	0.682666011197399
STRG.227	-0.949517355697455	0.678464220815214
STRG.228	-1.12353531982641	1.14512749771253e-06
STRG.229	-0.769775013286052	0.000105277454381462
STRG.230	-0.585726474355719	0.00240406708253983
STRG.231	-0.599927078598002	0.0499869450844205
STRG.232	-0.445284591097721	0.120900445603824
STRG.233	-0.517955080844688	0.00157033574610387
STRG.234	-0.546326916482679	0.00133898424611243
STRG.235	-0.909714465553417	4.49346588441486e-10
STRG.236	-1.17642183378049	0.000960561542441886
STRG.237	-0.359665796253325	0.560310723048627
STRG.238	-0.717937060766214	0.0169486214449134
STRG.239	-0.243894540164917	0.672576761184186
STRG.240	1.81941453572309	0.360474421249717
STRG.241	-1.37972813544037	0.0379196162557314
STRG.242	-1.18452006156162	0.0653121886427956
STRG.243	-0.667606143395955	0.106262299816951
STRG.244	3.83995945462563	7.57246624555834e-09
STRG.245	5.80970460685786	0.000172072013222513
STRG.246	4.24597462309055	0.00010281815800445
STRG.247	-0.921176813841295	0.186274594110443
STRG.248	0.0763317922844346	0.964301968803106
STRG.249	-0.443897360482687	0.841796489282893
STRG.250	0.414610807044782	0.358415303317882
STRG.251	1.21850557556447	0.388576263134701
STRG.252	-1.21741218344055	0.535970604990812
STRG.253	-1.47013026044331	0.00506180572503605
STRG.254	-0.75991772050162	0.00206016903971546
STRG.255	-0.134748666923656	0.724466833761984
STRG.256	0.088987289189944	0.930648801104489
STRG.257	0.367577079469143	0.0068685990334734
STRG.258	0.283626118956856	0.277729218860387
STRG.259	0.014321063826558	0.988413293617927
STRG.260	-0.0814481182589802	0.93924244982382
STRG.261	0.80576331460994	0.00147431352198367
STRG.262	1.08454941986406	9.0161254741871e-06
STRG.263	-0.429258794850357	0.113456675340548
STRG.264	-0.302191601853283	0.362245898920136
STRG.265	-0.489720581467076	0.435906673675073
STRG.266	0.0153192759724971	0.988279649032076
STRG.267	-0.44844941933383	0.909138730993384
STRG.268	-0.439755490171852	0.383896203423113
STRG.269	-0.221869153882984	0.50375344354306
STRG.270	0.0613337280185369	0.897893932211561
STRG.271	0.224388803305727	0.208516992938197
STRG.272	-0.287784685661062	0.205786879576508
STRG.273	0.641647274519867	0.063450867311597
STRG.274	1.00294034873968	0.0975821291704171
STRG.275	1.46232415018216	0.148412021339459
STRG.276	-1.78535420844686	0.000166720295414391
STRG.277	-3.91308662381579	2.01208661905747e-07
STRG.278	0.198035051132246	0.713824212358216
STRG.279	0.321919391922339	0.409896970272902
STRG.280	0.18824248519115	0.700906896586156
STRG.281	0.117052471208527	0.862838028387832
STRG.282	0.100218604991079	0.850655604107237
STRG.283	-0.0628981709771745	0.896317260786653
STRG.284	0.00116760426553877	0.998086400269197
STRG.285	0.133865340257246	0.93456031206238
STRG.286	-0.84765155073928	0.00622274992893618
STRG.287	0.408490780269903	0.8292642410759
STRG.288	0.00914540863236875	0.962877980771752
STRG.289	-0.460845249087825	0.618833322436928
STRG.290	0.257645036381026	0.114977337559252
STRG.291	0.500601764127133	0.0702386517225437
STRG.292	0.817302188915562	0.0327355979217303
STRG.293	0.634402294987273	0.000114288462509244
STRG.294	1.03175127167062	0.000120044803027675
STRG.295	0.819756031578618	0.00397195590327908
STRG.296	1.59347540895893	0.346896983555836
STRG.297	1.26023399413349	8.74406332978399e-08
STRG.298	0.509528338237727	0.937503473084508
STRG.299	5.71903874591211	0.00208384721752385
STRG.300	4.54767469259246	1.26731858076292e-10
STRG.301	-0.217866648717746	0.253683956691282
STRG.302	-0.20393150263775	0.517743271254398
STRG.303	-0.136806384902966	0.914492158840125
STRG.304	-0.0774229087088714	0.798443606181542
STRG.305	1.1249399051849	0.536487448893382
STRG.306	0.0802037730963544	0.811234989784633
STRG.307	-2.74207492975352	0.0411178543972633
STRG.308	0.47598653357501	0.558000689374134
STRG.309	0.263923642311153	0.855344342960559
STRG.310	-2.94468180229179	0.0920634512242385
STRG.311	0.586209726683406	0.0302154578629979
STRG.312	0.132403764809346	0.403568140860376
STRG.313	1.14034223756881	1.91918561623209e-16
STRG.314	-0.459647259381308	0.122885527340424
STRG.315	-0.349918885781859	0.39072970879296
STRG.316	0.572447676810826	0.00268494537630947
STRG.317	0.581240499865528	0.0127642140122199
STRG.318	-0.14362265377578	0.796999922450032
STRG.319	-0.101457997085253	0.754250407809267
STRG.320	-0.118597398121141	0.925228090858024
STRG.321	1.29970534214202	0.00798275342186175
STRG.322	-0.58450379643578	0.673052859034172
STRG.323	-1.05083292497564	3.40357708829171e-06
STRG.324	-0.697336859964858	0.0200044183114844
STRG.325	-0.82012899561559	0.0373366536877026
STRG.326	-1.11612009314055	0.00996121305451668
STRG.327	-0.104088373246771	0.871539441504912
STRG.328	-0.431664989952375	0.491267480201876
STRG.329	-0.809819282362209	0.033067283749293
STRG.330	1.22138979372801	0.0132188585129513
STRG.331	0.826329422238851	0.0136338721397396
STRG.332	1.45915436505098	0.0454231761167288
STRG.333	1.11730561235454	0.00214684973677162
STRG.334	0.607066659866078	0.0758375091933146
STRG.335	0.728112137136669	0.00533419141256493
STRG.336	1.07464477424762	0.000473223847331901
STRG.337	0.879108233208122	8.45637033464946e-07
